USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  3.3  0.1 119912  6148 ?        Ss   23:22   0:02 /sbin/init auto noprompt
root          2  0.0  0.0      0     0 ?        S    23:22   0:00 [kthreadd]
root          3  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/0:0]
root          4  0.0  0.0      0     0 ?        I<   23:22   0:00 [kworker/0:0H]
root          5  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:0]
root          6  0.0  0.0      0     0 ?        I<   23:22   0:00 [mm_percpu_wq]
root          7  0.0  0.0      0     0 ?        S    23:22   0:00 [ksoftirqd/0]
root          8  0.2  0.0      0     0 ?        I    23:22   0:00 [rcu_sched]
root          9  0.0  0.0      0     0 ?        I    23:22   0:00 [rcu_bh]
root         10  0.0  0.0      0     0 ?        S    23:22   0:00 [migration/0]
root         11  0.0  0.0      0     0 ?        S    23:22   0:00 [watchdog/0]
root         12  0.0  0.0      0     0 ?        S    23:22   0:00 [cpuhp/0]
root         13  0.0  0.0      0     0 ?        S    23:22   0:00 [cpuhp/1]
root         14  0.0  0.0      0     0 ?        S    23:22   0:00 [watchdog/1]
root         15  0.0  0.0      0     0 ?        S    23:22   0:00 [migration/1]
root         16  0.0  0.0      0     0 ?        S    23:22   0:00 [ksoftirqd/1]
root         17  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/1:0]
root         18  0.0  0.0      0     0 ?        I<   23:22   0:00 [kworker/1:0H]
root         19  0.0  0.0      0     0 ?        S    23:22   0:00 [kdevtmpfs]
root         20  0.0  0.0      0     0 ?        I<   23:22   0:00 [netns]
root         21  0.0  0.0      0     0 ?        S    23:22   0:00 [rcu_tasks_kthre]
root         22  0.0  0.0      0     0 ?        S    23:22   0:00 [kauditd]
root         23  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/0:1]
root         24  0.0  0.0      0     0 ?        S    23:22   0:00 [khungtaskd]
root         25  0.0  0.0      0     0 ?        S    23:22   0:00 [oom_reaper]
root         26  0.0  0.0      0     0 ?        I<   23:22   0:00 [writeback]
root         27  0.0  0.0      0     0 ?        S    23:22   0:00 [kcompactd0]
root         28  0.0  0.0      0     0 ?        SN   23:22   0:00 [ksmd]
root         29  0.0  0.0      0     0 ?        SN   23:22   0:00 [khugepaged]
root         30  0.0  0.0      0     0 ?        I<   23:22   0:00 [crypto]
root         31  0.0  0.0      0     0 ?        I<   23:22   0:00 [kintegrityd]
root         32  0.0  0.0      0     0 ?        I<   23:22   0:00 [kblockd]
root         33  0.0  0.0      0     0 ?        I<   23:22   0:00 [ata_sff]
root         34  0.0  0.0      0     0 ?        I<   23:22   0:00 [md]
root         35  0.0  0.0      0     0 ?        I<   23:22   0:00 [edac-poller]
root         36  0.0  0.0      0     0 ?        I<   23:22   0:00 [devfreq_wq]
root         37  0.0  0.0      0     0 ?        I<   23:22   0:00 [watchdogd]
root         38  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:1]
root         39  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/1:1]
root         41  0.0  0.0      0     0 ?        S    23:22   0:00 [kswapd0]
root         42  0.0  0.0      0     0 ?        S    23:22   0:00 [ecryptfs-kthrea]
root         84  0.0  0.0      0     0 ?        I<   23:22   0:00 [kthrotld]
root         85  0.0  0.0      0     0 ?        I<   23:22   0:00 [acpi_thermal_pm]
root         86  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_0]
root         87  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_0]
root         88  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_1]
root         89  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_1]
root         90  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:2]
root         91  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:3]
root         95  0.0  0.0      0     0 ?        I<   23:22   0:00 [ipv6_addrconf]
root        104  0.0  0.0      0     0 ?        I<   23:22   0:00 [kstrp]
root        121  0.0  0.0      0     0 ?        I<   23:22   0:00 [charger_manager]
root        122  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/u256:4]
root        158  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/0:2]
root        184  0.0  0.0      0     0 ?        I<   23:22   0:00 [mpt_poll_0]
root        185  0.0  0.0      0     0 ?        I<   23:22   0:00 [mpt/0]
root        186  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_2]
